source,target,edge_type,weight,count,containment_connectivity,cooccurrence_connectivity,structural_connectivity
Outpatient_high_complexity_procedures,Outpatient_high_complexity_procedures__Admin_Entry:_HCPA,containment,1.0,1,1.0,0.0,1.0
Outpatient_high_complexity_procedures__Admin_Entry:_HCPA,Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components,containment,1.0,1,1.0,0.0,1.0
Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components,Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__General_data,containment,1.0,1,1.0,0.0,1.0
Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__General_data,Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__General_data__issue_date,containment,1.0,1,1.0,0.0,1.0
Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__General_data,Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__General_data__reason_for_encounter,containment,1.0,1,1.0,0.0,1.0
Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__General_data,Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__General_data__healthcare_unit,containment,1.0,1,1.0,0.0,1.0
Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__General_data,Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__General_data__State,containment,1.0,1,1.0,0.0,1.0
Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__General_data,Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__General_data__patient_age,containment,1.0,1,1.0,0.0,1.0
Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components,Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__chemotherapy,containment,1.0,1,1.0,0.0,1.0
Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__chemotherapy,Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__chemotherapy__duration_of_treatment,containment,1.0,1,1.0,0.0,1.0
