node_id,concept_name,path,datatype,node_type,coverage,coverage_local,coverage_global,child_count,queriability,distinct_value_count,total_value_count,root_name
Outpatient_high_complexity_procedures,Outpatient high complexity procedures,Outpatient high complexity procedures,unknown,root,0.8667,1.0,0.3333,4,1.7339,0,0,Outpatient high complexity procedures
Outpatient_high_complexity_procedures__Admin_Entry:_HCPA,Admin Entry: HCPA,Outpatient high complexity procedures / Admin Entry: HCPA,unknown,section,0.8667,1.0,0.3333,1,1.6289,0,0,Outpatient high complexity procedures
Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components,components,Outpatient high complexity procedures / Admin Entry: HCPA / components,unknown,substructure,0.8667,1.0,0.3333,2,1.6506,0,0,Outpatient high complexity procedures
Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__General_data,General data,Outpatient high complexity procedures / Admin Entry: HCPA / components / General data,unknown,substructure,0.8667,1.0,0.3333,5,1.7313,0,0,Outpatient high complexity procedures
Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__General_data__issue_date,issue date,Outpatient high complexity procedures / Admin Entry: HCPA / components / General data / issue date,DV_DATE,leaf,0.8667,1.0,0.3333,0,1.8735,5,5,Outpatient high complexity procedures
Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__General_data__reason_for_encounter,reason for encounter,Outpatient high complexity procedures / Admin Entry: HCPA / components / General data / reason for encounter,DV_TEXT,leaf,0.8667,1.0,0.3333,0,1.7365,1,5,Outpatient high complexity procedures
Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__General_data__healthcare_unit,healthcare unit,Outpatient high complexity procedures / Admin Entry: HCPA / components / General data / healthcare unit,DV_TEXT,leaf,0.8667,1.0,0.3333,0,1.7535,5,5,Outpatient high complexity procedures
Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__General_data__State,State,Outpatient high complexity procedures / Admin Entry: HCPA / components / General data / State,DV_CODED_TEXT,leaf,0.8667,1.0,0.3333,0,1.8735,5,5,Outpatient high complexity procedures
Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__General_data__patient_age,patient age,Outpatient high complexity procedures / Admin Entry: HCPA / components / General data / patient age,DV_TEXT,leaf,0.8667,1.0,0.3333,0,1.8135,5,5,Outpatient high complexity procedures
Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__chemotherapy,chemotherapy,Outpatient high complexity procedures / Admin Entry: HCPA / components / chemotherapy,unknown,substructure,0.8667,1.0,0.3333,3,1.682,0,0,Outpatient high complexity procedures
Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__chemotherapy__duration_of_treatment,duration of treatment,Outpatient high complexity procedures / Admin Entry: HCPA / components / chemotherapy / duration of treatment,DV_TEXT,leaf,0.8667,1.0,0.3333,0,1.695,3,5,Outpatient high complexity procedures
Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__chemotherapy__schema,schema,Outpatient high complexity procedures / Admin Entry: HCPA / components / chemotherapy / schema,DV_CODED_TEXT,leaf,0.8667,1.0,0.3333,0,1.7735,5,5,Outpatient high complexity procedures
Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__chemotherapy__date_of_beginning_of_chemotherapy,date of beginning of chemotherapy,Outpatient high complexity procedures / Admin Entry: HCPA / components / chemotherapy / date of beginning of chemotherapy,DV_DATE,leaf,0.8667,1.0,0.3333,0,1.8735,5,5,Outpatient high complexity procedures
Outpatient_high_complexity_procedures__Admin_Entry:_Patient_discharge,Admin Entry: Patient discharge,Outpatient high complexity procedures / Admin Entry: Patient discharge,unknown,section,0.8667,1.0,0.3333,1,1.6689,0,0,Outpatient high complexity procedures
